Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
9161791964,2024-01-01,4656,5.0255035562607295,1730,27,30,281,531
8973504106,2024-01-02,5312,7.95683859178017,2420,53,39,115,456
7705636699,2024-01-03,2579,4.218953684392486,2146,41,33,104,396
3065748286,2024-01-04,4574,7.498318575630508,2181,45,3,75,413
5356190585,2024-01-05,2192,2.375274132095438,2155,4,3,140,380
8826019347,2024-01-06,9780,1.4639938681423237,1503,42,2,139,550
9179767232,2024-01-07,2055,6.925879596812735,1596,43,38,214,336
2219237339,2024-01-08,4166,5.039203697815077,2240,58,14,255,441
9751770671,2024-01-09,5529,8.482392437844188,2350,56,5,148,454
6734967120,2024-01-10,6694,5.326062970371418,1951,39,26,145,355
