Id,ActivityDate,TotalSteps,TotalDistance,Calories,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes
2407568719,2024-01-01,6980,4.666174485828796,1689,49,16,95,594
6169865872,2024-01-02,3387,8.896441086501648,1950,48,29,154,365
2634937392,2024-01-03,4957,8.437330426822674,1718,1,25,206,382
6398166822,2024-01-04,8562,4.248140204433496,1638,23,30,115,312
1533508677,2024-01-05,2342,4.483302973824608,2167,31,37,295,354
6811202232,2024-01-06,6089,8.389751082969836,1972,51,8,221,561
6048149681,2024-01-07,2042,6.553927167244728,1944,11,6,240,469
9188994109,2024-01-08,3390,2.014479264813324,1500,40,16,293,322
3306767731,2024-01-09,2101,2.1112669739849985,1830,33,37,284,313
8619012132,2024-01-10,1038,4.979828265136667,1908,43,16,65,449
